[2025-10-11 20:42:39.132] [info] [222] yolo: 8.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.178] [info] [223] yolo: 10.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.223] [info] [224] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.267] [info] [225] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.309] [info] [226] yolo: 7.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.354] [info] [227] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.397] [info] [228] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.442] [info] [229] yolo: 9.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.487] [info] [230] yolo: 9.5ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:39.533] [info] [231] yolo: 10.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.579] [info] [232] yolo: 10.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.626] [info] [233] yolo: 11.5ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:39.674] [info] [234] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.719] [info] [235] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:39.762] [info] [236] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.807] [info] [237] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.850] [info] [238] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:39.895] [info] [239] yolo: 9.9ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-11 20:42:39.941] [info] [240] yolo: 11.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:39.987] [info] [241] yolo: 9.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:40.031] [info] [242] yolo: 8.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:40.074] [info] [243] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:40.118] [info] [244] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:40.162] [info] [245] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
