[2025-10-11 21:03:46.638] [info] Mindvision opened.
[2025-10-11 21:03:46.638] [info] SocketCAN opened.
[2025-10-11 21:03:46.638] [info] [Cboard] Waiting for q...
[2025-10-11 21:03:46.645] [info] [Cboard] Opened.
[2025-10-11 21:04:17.689] [debug] [Target] r=0.128, l=-0.187
[2025-10-11 21:04:17.689] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:44.724] [debug] [Target] r=0.049, l=0.000
[2025-10-11 21:04:44.724] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:45.794] [debug] [Target] r=0.048, l=0.000
[2025-10-11 21:04:45.794] [debug] [Tracker] Target diverged!
[2025-10-11 21:05:56.367] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.467] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.567] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.667] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.768] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.868] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:56.968] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.068] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.168] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.268] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.369] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.469] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.569] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.669] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.769] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.869] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:57.970] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.070] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.170] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.270] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.370] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.471] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.571] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.671] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.771] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.871] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:58.972] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.072] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.172] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.272] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.372] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.472] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.573] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.673] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.773] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.873] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:59.973] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.073] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.174] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.274] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.374] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.474] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.574] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.675] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.775] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.875] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:00.975] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.075] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.175] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.276] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.376] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.476] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.576] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.676] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.776] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.877] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:01.977] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.077] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.177] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.277] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.378] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.478] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.578] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.678] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.778] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.878] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:02.979] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.079] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.179] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.279] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.379] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.479] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.580] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.680] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.780] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.880] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:03.980] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.080] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.181] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.281] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.381] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.481] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.581] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.681] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.782] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.882] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:04.982] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.082] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.182] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.282] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.383] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.483] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.583] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.683] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.783] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.883] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:05.984] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.084] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.184] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.284] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.384] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.485] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.585] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.685] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.785] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.885] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:06.985] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.086] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.186] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.286] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.386] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.486] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.587] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.687] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.787] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.887] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:07.987] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.088] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.188] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.288] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.388] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.488] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.588] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.689] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.789] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.889] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:08.989] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.089] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.189] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.290] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.390] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.490] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.590] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.690] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.791] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:06:09.891] [warning] SocketCAN::open() failed: Error getting interface index!
